rank,release_date,primary_title,budget,domestic_gross,worldwide_gross_raw,release_year,month,vote_average,vote_count,genre_ids,primary_genre,worldwide_gross_millions,budget_millions,domestic_gross_millions,roi_percent
92,2018-07-27,Mission: ImpossibleâFallout,178000000.0,220159104.0,787456552.0,2018,7,,,,,787.456552,178.0,220.159104,342.39
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,2016,5,6.5,8348.0,"[28, 12, 878, 14]",Action,542.537546,178.0,155.442489,204.8
94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,2018,8,5.9,2896.0,"[28, 878, 53, 27]",Action,529.530715,178.0,145.443742,197.49
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2014,6,7.6,8047.0,"[28, 878]",Action,370.541256,178.0,100.206256,108.17
96,2019-03-08,Captain Marvel,175000000.0,426525952.0,1123061550.0,2019,3,,,,,1123.06155,175.0,426.525952,541.75
97,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,2016,4,6.8,5257.0,"[12, 18, 10751, 14]",Adventure,962.854547,175.0,364.001123,450.2
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,6,4.4,18.0,"[18, 80]",Drama,854.235992,175.0,356.461711,388.13
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,6,8.0,12691.0,"[18, 35, 16, 10751]",Drama,854.235992,175.0,356.461711,388.13
99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,2017,7,7.4,11585.0,"[28, 12, 878, 18]",Action,880.16635,175.0,334.20114,402.95
100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,2016,8,5.9,13533.0,"[28, 12, 80, 14, 878]",Action,746.059887,175.0,325.100054,326.32
1,2009-05-29,Up,175000000.0,293004164.0,731463377.0,2009,5,,,,,731.463377,175.0,293.004164,317.98
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,11,8.2,8669.0,"[16, 10751, 35, 12, 14]",Animation,798.008101,175.0,209.726015,356.0
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,11,8.2,8669.0,"[16, 10751, 35, 12, 14]",Animation,798.008101,175.0,209.726015,356.0
3,2018-11-21,Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,2018,11,7.2,2626.0,"[10751, 16, 35, 14, 12]",Family,524.283695,175.0,201.091711,199.59
4,2009-03-27,Monsters vs. Aliens,175000000.0,198351526.0,381687380.0,2009,3,,,,,381.68738,175.0,198.351526,118.11
5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,6,6.7,2596.0,"[12, 16, 35, 10751]",Adventure,383.541369,175.0,152.901115,119.17
6,2009-08-07,G.I. Joe: The Rise of Cobra,175000000.0,150201498.0,302469017.0,2009,8,,,,,302.469017,175.0,150.201498,72.84
7,1999-06-30,Wild Wild West,175000000.0,113805681.0,221229335.0,1999,6,,,,,221.229335,175.0,113.805681,26.42
8,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000.0,102491776.0,405760225.0,2008,8,,,,,405.760225,175.0,102.491776,131.86
9,2007-06-22,Evan Almighty,175000000.0,100289690.0,174131329.0,2007,6,,,,,174.131329,175.0,100.28969,-0.5
10,1995-07-28,Waterworld,175000000.0,88246220.0,264246220.0,1995,7,,,,,264.24622,175.0,88.24622,51.0
11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,2017,5,6.5,3305.0,"[28, 18, 14]",Action,139.630336,175.0,39.175066,-20.21
12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,2013,12,6.0,2080.0,"[18, 28, 12, 14]",Drama,151.716815,175.0,38.362475,-13.3
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,2018,6,6.5,5995.0,"[28, 12, 878]",Action,1305.772799,170.0,417.71976,668.1
14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,8,7.9,17958.0,"[28, 878, 12]",Action,770.867516,170.0,333.172112,353.45
15,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,2010,5,6.8,12368.0,"[12, 28, 878]",Adventure,621.156389,170.0,312.433331,265.39
16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,2014,4,7.7,11034.0,"[28, 12, 878]",Action,714.401889,170.0,259.746958,320.24
17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,7,7.3,7080.0,"[878, 28, 18, 53]",Sci-Fi,710.644566,170.0,208.545589,318.03
18,2004-11-10,The Polar Express,170000000.0,187224605.0,311365187.0,2004,11,,,,,311.365187,170.0,187.224605,83.16
19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,2012,6,5.9,5258.0,"[12, 14, 18]",Adventure,401.021746,170.0,155.136755,135.9
20,2003-07-01,Terminator 3: Rise of the Machines,170000000.0,150358296.0,433058296.0,2003,7,,,,,433.058296,170.0,150.358296,154.74
